Date,Product Category,North Region,Central Region,South Region
7/1/2022,Bikes,10,19,25
7/1/2022,Components,14,31,16
7/1/2022,Clothing,35,32,46
7/1/2022,Accessories,13,42,26
7/2/2022,Bikes,47,23,41
7/2/2022,Components,41,36,9
7/2/2022,Clothing,13,14,27
7/2/2022,Accessories,45,21,28
7/3/2022,Bikes,18,24,12
7/3/2022,Components,11,32,18
7/3/2022,Clothing,43,35,35
7/3/2022,Accessories,49,8,15
7/4/2022,Bikes,36,33,43
7/4/2022,Components,16,17,30
7/4/2022,Clothing,15,18,28
7/4/2022,Accessories,34,28,31
7/5/2022,Bikes,16,43,14
7/5/2022,Components,14,32,11
7/5/2022,Clothing,11,25,46
7/5/2022,Accessories,10,21,25
